time_ms,distance_cm
0,11.5
23,13.2
46,11.8
70,13.9
93,12.7
116,11.9
140,12.8
163,13.9
186,11.4
210,13.1
233,11.4
256,14.1
280,11.5
303,13.1
326,11.4
350,13.9
373,13.1
397,11.5
420,13.9
443,11.4
467,14.0
490,12.7
513,12.7
537,11.1
560,13.1
583,11.0
607,12.3
630,11.5
653,15.2
677,11.4
700,14.8
724,11.4
747,12.3
770,11.5
794,15.2
817,11.4
840,14.8
864,12.7
887,12.3
910,12.8
934,17.7
957,11.4
981,12.6
1005,1.7
1029,15.6
1052,13.2
1075,15.3
1099,11.4
1122,16.9
1146,11.0
1169,15.2
1193,1.2
1217,12.3
1240,11.4
1263,11.8
1287,24.9
1311,0.8
1335,15.2
1359,25.3
1382,12.8
1406,14.4
1429,11.4
1452,11.8
1476,24.1
1500,13.1
1523,11.0
1547,15.2
1570,12.7
1593,12.3
1617,11.8
1640,11.8
1663,13.9
1687,12.3
1710,11.9
1733,12.3
1757,12.2
1780,13.5
1803,12.7
1827,11.9
1850,12.7
1873,11.8
1897,13.1
1920,11.5
1943,12.4
1967,13.5
1990,11.8
2014,13.5
2037,12.3
2060,13.6
2084,11.5
2107,13.5
2130,12.3
2154,11.8
2177,12.8
2200,13.2
2224,13.1
2247,12.7
2271,13.1
2294,12.7
2317,11.5
2341,12.3
2364,13.1
2387,12.3
2411,12.2
2434,12.4
2457,12.4
2481,13.5
2504,12.7
2527,11.8
2551,13.1
2574,12.8
2598,13.1
2621,12.7
2644,13.1
2668,12.7
2691,12.3
2714,12.8
2738,13.5
2761,11.8
2784,13.1
2808,12.3
2831,11.9
2854,12.7
2878,11.8
2901,13.1
2924,11.8
2948,12.8
2971,13.1
2995,12.7
3018,13.1
3041,13.1
3065,11.5
3088,13.2
3111,12.2
3135,12.7
3158,12.7
3181,13.1
3205,13.6
3228,11.4
3252,12.7
3275,11.8
3298,12.7
3321,11.9
3345,13.1
3369,18.2
3392,12.3
3416,18.6
3439,11.0
3462,11.8
3486,12.2
3510,3.4
3534,8.7
3558,13.1
3581,11.4
3604,11.4
3628,12.3
3651,15.7
3675,14.6
3698,11.0
3721,12.2
3745,0.0
3769,12.0
3792,11.0
3815,10.5
3839,10.6
3862,11.4
3885,10.5
3908,10.9
3932,11.4
3955,11.3
3978,10.8
4001,11.0
4025,11.0
4048,11.2
4071,11.1
4094,11.2
4118,10.7
4141,10.1
4164,10.2
4187,10.0
4211,10.3
4234,9.9
4257,9.7
4280,9.6
4303,10.1
4326,9.8
4350,9.3
4373,9.7
4396,9.4
4419,8.9
4442,9.4
4465,8.7
4489,9.1
4512,8.5
4535,8.5
4558,8.5
4581,8.7
4604,8.7
4627,8.6
4650,8.2
4673,8.1
4697,8.0
4720,8.1
4743,8.3
4766,8.4
4789,8.3
4812,7.8
4835,7.7
4858,7.8
4881,7.6
4904,7.7
4927,7.6
4950,7.9
4974,7.6
4997,7.4
5020,8.0
5043,7.3
5066,7.8
5089,6.8
5112,7.3
5135,6.8
5158,6.9
5181,7.2
5204,7.2
5227,6.7
5250,7.2
5273,7.1
5296,6.8
5319,7.1
5342,8.1
5365,7.1
5388,7.6
5411,7.1
5434,7.6
5457,7.5
5480,7.1
5504,7.9
5527,8.0
5550,7.4
5573,7.0
5596,7.4
5619,7.5
5642,7.4
5665,7.4
5688,6.8
5711,7.4
5734,7.3
5757,7.4
5780,6.8
5803,6.8
5826,6.9
5849,6.8
5872,6.9
5895,6.9
5918,6.9
5941,6.9
5964,7.4
5987,7.5
6011,7.5
6034,7.9
6057,7.2
6080,7.2
6103,6.9
6126,7.3
6149,8.0
6172,7.6
6195,8.3
6218,7.8
6241,9.0
6264,8.1
6287,8.7
6311,8.1
6334,9.0
6357,9.3
6380,8.9
6403,9.8
6426,9.7
6449,9.3
6473,10.1
6496,9.7
6519,9.8
6542,10.5
6566,10.2
6589,10.2
6612,11.6
6635,11.0
6659,10.1
6682,12.0
6705,11.4
6728,10.2
6752,12.4
6775,11.7
6798,11.5
6822,10.7
6845,12.8
6868,12.6
6891,11.4
6915,11.1
6938,11.4
6961,13.8
6985,12.6
7008,11.9
7031,11.1
7055,11.9
7078,11.4
7101,12.0
7125,12.4
7148,11.9
7171,13.2
7195,14.1
7218,13.8
7242,13.4
7265,11.9
7288,11.8
7312,11.4
7335,11.4
7358,11.9
7381,11.4
7405,11.8
7428,11.4
7451,11.9
7475,11.4
7498,11.8
7521,12.2
7545,11.1
7568,12.6
7591,13.4
7615,13.4
7638,13.8
7661,12.6
7685,11.9
7708,12.3
7731,11.8
7756,4.5
7779,12.7
7803,13.2
7826,11.9
7849,12.7
7873,12.2
7896,13.5
7919,11.9
7943,12.8
7966,13.1
7989,11.4
8013,13.1
8036,12.7
8059,11.9
8083,12.7
8106,12.2
8129,13.9
8153,12.3
8176,13.2
8200,11.9
8223,13.1
8246,12.7
8270,11.4
8293,12.4
8316,14.0
8340,11.4
8363,13.5
8386,11.4
8410,11.9
8433,12.8
8456,13.5
8480,12.3
8503,13.5
8527,13.5
8550,11.1
8573,13.1
8597,13.1
8620,13.5
8643,11.4
8667,13.5
8690,13.2
8713,11.8
8737,12.7
8760,11.8
8783,13.5
8807,13.9
8830,13.2
8854,11.0
8877,14.0
8900,12.7
8924,11.8
8948,2.6
8971,13.5
8995,11.8
9018,11.8
9041,13.5
9065,11.9
9089,2.5
9112,11.8
9136,13.9
9159,12.4
9182,14.0
9206,11.4
9229,12.2
9252,13.5
9276,12.7
9299,12.3
9323,12.7
9346,14.4
9369,11.8
9393,12.2
9416,13.2
9439,11.9
9463,13.1
9486,11.8
9509,12.2
9533,13.2
9556,13.6
9579,11.8
9603,11.8
9626,14.0
9650,12.7
9673,14.0
9696,11.5
9720,13.9
9743,11.4
9766,12.2
9790,13.9
9813,13.2
9837,13.9
9860,11.8
9883,11.8
9907,13.9
9930,13.1
9953,11.9
9977,13.5
10000,11.8
10023,13.9
10047,13.1
10070,11.9
10094,13.6
10117,11.8
10140,13.5
10164,13.1
10187,11.8
10210,13.6
10234,11.9
10257,12.7
10280,11.8
10304,13.5
10327,13.2
10351,13.6
10374,11.4
10397,13.5
10421,13.1
10444,11.4
10467,13.6
